message;severity;node;stamp;location
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259536.727215198";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259536.621761857";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Turning 1.57 for spin behavior.";"20";"behavior_server";"1761259536.550278992";"./plugins/spin.cpp:onRun:89"
"Running spin";"20";"behavior_server";"1761259536.550151812";"./include/nav2_behaviors/timed_behavior.hpp:execute:187"
"Received request to clear entirely the global_costmap";"20";"global_costmap.global_costmap";"1761259536.549687929";"./src/clear_costmap_service.cpp:clearEntireCallback:95"
"Received request to clear entirely the local_costmap";"20";"local_costmap.local_costmap";"1761259536.549226350";"./src/clear_costmap_service.cpp:clearEntireCallback:95"
"[compute_path_to_pose] [ActionServer] Aborting handle.";"30";"planner_server";"1761259536.530548518";"/opt/ros/humble/include/nav2_util/simple_action_server.hpp:warn_msg:605"
"Planning algorithm GridBased failed to generate a valid path to (8.00, 0.00)";"30";"planner_server";"1761259536.530522397";"./src/planner_server.cpp:validatePath:341"
"GridBased: failed to create plan with tolerance 0.50.";"30";"planner_server";"1761259536.530443197";"./src/navfn_planner.cpp:createPlan:175"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259536.514821114";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259536.409017172";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259536.303243959";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259536.195548934";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259536.089262461";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259535.983237193";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259535.876917058";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Received request to clear entirely the global_costmap";"20";"global_costmap.global_costmap";"1761259535.789471217";"./src/clear_costmap_service.cpp:clearEntireCallback:95"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259535.770477913";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"[compute_path_to_pose] [ActionServer] Aborting handle.";"30";"planner_server";"1761259535.760035511";"/opt/ros/humble/include/nav2_util/simple_action_server.hpp:warn_msg:605"
"Planning algorithm GridBased failed to generate a valid path to (8.00, 0.00)";"30";"planner_server";"1761259535.759914267";"./src/planner_server.cpp:validatePath:341"
